"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"ENST00000714325.1-ENSG00000284294","OK",0,161.132233930696,0.519733668067107,"ENST00000714325.1-ENSG00000284294",0
"ENST00000821772.1-ENSG00000289533","OK",0,171.110727172632,0.551863295145569,"ENST00000821772.1-ENSG00000289533",0
"ENST00000301072.11-TUBA1C","OK",0,246.92536407424,0.796736955096676,"ENST00000301072.11-TUBA1C",0
"ENST00000326279.11-LIN28A","OK",0,264.491864652186,0.853358703211676,"ENST00000326279.11-LIN28A",0
"ENST00000256442.10-CCNB1","OK",0,212.135131532865,0.684456624634323,"ENST00000256442.10-CCNB1",0
"ENST00000439742.7-MXD3","OK",0,180.567313409312,0.582211691813261,"ENST00000439742.7-MXD3",0
"ENST00000271452.8-NUF2","OK",0,166.628051562241,0.537379515352308,"ENST00000271452.8-NUF2",0
"ENST00000395284.8-CDK1","OK",0,189.978811251186,0.612929578768501,"ENST00000395284.8-CDK1",0
"ENST00000388835.4-KRT18","OK",0,244.13775662942,0.787673753281054,"ENST00000388835.4-KRT18",0
"ENST00000301905.9-PBK","OK",0,174.191469855924,0.561843134377923,"ENST00000301905.9-PBK",0
"ENST00000372524.5-ZNF503","OK",0,201.894184647095,0.651133816439997,"ENST00000372524.5-ZNF503",0
"ENST00000846944.1-ESRG","OK",0,218.213200670371,0.703991926147001,"ENST00000846944.1-ESRG",0
"BambuTx1499-ENSG00000290789","OK",0,162.832918518259,0.525071253927306,"BambuTx1499-ENSG00000290789",0
"ENST00000718491.1-LNCPRESS1","OK",0,213.70409587266,0.689353286262509,"ENST00000718491.1-LNCPRESS1",0
"ENST00000314355.7-CKS2","OK",0,217.542482592148,0.70193848527559,"ENST00000314355.7-CKS2",0
"ENST00000296145.6-CRIPTO","OK",0,297.596811587512,0.960164625638072,"ENST00000296145.6-CRIPTO",0
"ENST00000281523.8-ZNF385D","OK",0,184.010341273617,0.593707920207163,"ENST00000281523.8-ZNF385D",0
"ENST00000396925.1-CLDN6","OK",0,265.488963020443,0.856574911432829,"ENST00000396925.1-CLDN6",0
"ENST00000378700.8-ID4","OK",0,166.643187822247,0.537658941867667,"ENST00000378700.8-ID4",0
"ENST00000263160.4-SLC17A6","OK",0,162.511443126604,0.521943313838093,"ENST00000263160.4-SLC17A6",0
"ENST00000357388.8-SMC4","OK",0,162.520394629558,0.52433452108372,"ENST00000357388.8-SMC4",0
"ENST00000538862.7-CDCA3","OK",0,160.934276720099,0.519052631136135,"ENST00000538862.7-CDCA3",0
"ENST00000265643.4-GAL","OK",0,270.686419931325,0.873309388359673,"ENST00000265643.4-GAL",0
"ENST00000435030.6-KIF5C","OK",0,159.382371771187,0.514201813001408,"ENST00000435030.6-KIF5C",0
"ENST00000223271.8-RARRES2","OK",0,244.920784954485,0.79022959347696,"ENST00000223271.8-RARRES2",0
"ENST00000430027.3-DLX6-AS1","OK",0,276.746365191154,0.893023696114719,"ENST00000430027.3-DLX6-AS1",0
"ENST00000315087.12-ST8SIA5","OK",0,186.352816411973,0.601220810658019,"ENST00000315087.12-ST8SIA5",0
"ENST00000300093.9-PLK1","OK",0,182.266319036582,0.587992897678095,"ENST00000300093.9-PLK1",0
"ENST00000258499.8-USP44","OK",0,256.148298778492,0.82644726432926,"ENST00000258499.8-USP44",0
"ENST00000338037.11-PLCB1","OK",0,175.909659527967,0.567536682670889,"ENST00000338037.11-PLCB1",0
"ENST00000295830.13-RPL22L1","OK",0,206.838027010833,0.667388060685916,"ENST00000295830.13-RPL22L1",0
"ENST00000279022.7-MYL9","OK",0,181.49102088294,0.585424599539411,"ENST00000279022.7-MYL9",0
"ENST00000821770.1-ENSG00000289533","OK",0,207.855788396949,0.670475625983214,"ENST00000821770.1-ENSG00000289533",0
"ENST00000505215.4-MIR302CHG","OK",0,270.15184833247,0.87155841742947,"ENST00000505215.4-MIR302CHG",0
"ENST00000295113.5-FRZB","OK",0,231.234665178693,0.746013481447343,"ENST00000295113.5-FRZB",0
"ENST00000282561.4-GJA1","OK",0,253.585529139457,0.81820638749921,"ENST00000282561.4-GJA1",0
"ENST00000335658.7-DPPA4","OK",0,267.148760215358,0.861980162307938,"ENST00000335658.7-DPPA4",0
"ENST00000553456.5-EMX2","OK",0,226.210545424592,0.729782080913857,"ENST00000553456.5-EMX2",0
"ENST00000473291.1-HHLA1","OK",0,244.874600508443,0.790074748949647,"ENST00000473291.1-HHLA1",0
"ENST00000220876.12-STMN2","OK",0,254.099479877378,0.819927072774164,"ENST00000220876.12-STMN2",0
"ENST00000393957.7-TPPP3","OK",0,157.727870537285,0.508631635827751,"ENST00000393957.7-TPPP3",0
"ENST00000300035.9-PCLAF","OK",0,237.707596766771,0.767010606245444,"ENST00000300035.9-PCLAF",0
"ENST00000446198.5-PODXL","OK",0,218.47343371783,0.704854145046741,"ENST00000446198.5-PODXL",0
"ENST00000337130.10-UGP2","OK",0,200.629216512766,0.647242265971094,"ENST00000337130.10-UGP2",0
"ENST00000755579.1-ENSG00000289479","OK",0,223.050465885023,0.719562081972066,"ENST00000755579.1-ENSG00000289479",0
"ENST00000458352.5-DLX6-AS1","OK",0,195.152172809446,0.629671706214772,"ENST00000458352.5-DLX6-AS1",0
"ENST00000245479.3-SOX9","OK",0,183.905446320811,0.593370937469741,"ENST00000245479.3-SOX9",0
"ENST00000373615.9-LHX2","OK",0,254.263321301334,0.820359032150958,"ENST00000373615.9-LHX2",0
"ENST00000329305.6-TPM2","OK",0,261.889777916247,0.844948934795952,"ENST00000329305.6-TPM2",0
"ENST00000583516.1-ESRG","OK",0,200.35245801758,0.646333923626544,"ENST00000583516.1-ESRG",0
"ENST00000372224.9-KIF2C","OK",0,157.609683168352,0.508372348570588,"ENST00000372224.9-KIF2C",0
"ENST00000322038.5-TSHZ1","OK",0,180.106489237192,0.581082158481461,"ENST00000322038.5-TSHZ1",0
"ENST00000369626.8-SLC16A1","OK",0,180.488192610502,0.582313192659813,"ENST00000369626.8-SLC16A1",0
"ENST00000420428.7-CELF4","OK",0,203.084703581513,0.655268534341382,"ENST00000420428.7-CELF4",0
"ENST00000380258.6-PCLAF","OK",0,170.747920048196,0.550857758106548,"ENST00000380258.6-PCLAF",0
"ENST00000295101.3-KCNJ3","OK",0,199.537307133792,0.643758433247736,"ENST00000295101.3-KCNJ3",0
"ENST00000622633.5-LITAF","OK",0,192.921426497445,0.622428264000085,"ENST00000622633.5-LITAF",0
"ENST00000731552.1-MIR302CHG","OK",0,281.026469283973,0.906660236148306,"ENST00000731552.1-MIR302CHG",0
